,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
exJpeg,PNG (Pingo + ECT),,WebP,WP2,FLIF,AVIF,JXL (e9 E3 I1),JXL (-e 9),JXL (-e 7),JXL (-e 3),BMF (-s),EMMA,WebP,WP2,FLIF,AVIF,PNG,Effort 9,Effort 7,Effort 3,BMF,EMMA
score,Total size:,"469,931,034","369,788,498","353,872,639","323,695,353","733,668,697","305,298,899","313,020,340","337,458,596","404,731,180","298,857,236","271,764,853",21.12%,15.91%,6.03%,140.31%,53.92%,2.53%,10.53%,32.57%,-2.11%,-10.98%
"1.000   NO,  this doesn't look like an ex-JPEG image.",0356n7qyhv841.png,"353,668","249,284","238,468","232,920","384,492","197,550","201,517","222,809","279,517","202,848","175,845",26.19%,20.71%,17.90%,94.63%,79.03%,2.01%,12.79%,41.49%,2.68%,-10.99%
1.096   Maybe. Try better methods.,05ekwgfy4vx31.png,"1,250,109","863,974","796,757","750,944","1,101,687","684,742","718,656","759,782","892,373","644,972","560,703",26.18%,16.36%,9.67%,60.89%,82.57%,4.95%,10.96%,30.32%,-5.81%,-18.11%
"1.043   NO,  this doesn't look like an ex-JPEG image.",07plc7gfj0l51.png,"222,800","208,594","211,652","173,449","1,306,364","154,400","155,311","226,102","351,451","152,352","137,943",35.10%,37.08%,12.34%,746.09%,44.30%,0.59%,46.44%,127.62%,-1.33%,-10.66%
"1.348 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 7, 0.",08lgid8dzmm51.png,"630,473","549,954","561,208","485,325","1,832,250","446,550","449,118","516,736","1,494,949","353,428","400,088",23.16%,25.68%,8.68%,310.31%,41.19%,0.58%,15.72%,234.78%,-20.85%,-10.40%
"1.007   NO,  this doesn't look like an ex-JPEG image.",09aduh6p74t51.png,"3,009,088","1,829,910","1,683,524","1,302,014","5,257,977","1,317,941","1,323,459","1,664,119","2,379,187","1,283,056","1,131,410",38.85%,27.74%,-1.21%,298.95%,128.32%,0.42%,26.27%,80.52%,-2.65%,-14.15%
"1.404 ! YES, this looks like an ex-JPEG image, shifts: 7, 0.",0d7cmfgedax31.png,"507,356","352,912","337,171","330,080","427,960","304,328","310,471","315,065","343,553","275,720","276,248",15.96%,10.79%,8.46%,40.62%,66.71%,2.02%,3.53%,12.89%,-9.40%,-9.23%
1.097   Maybe. Try better methods.,0fir76s4wui41.png,"780,971","394,634","376,005","307,244","1,187,120","290,374","294,115","358,128","413,466","271,520","269,642",35.91%,29.49%,5.81%,308.82%,168.95%,1.29%,23.33%,42.39%,-6.49%,-7.14%
"1.000   NO,  this doesn't look like an ex-JPEG image.",0lon2dk63lk41.png,"1,590,018","1,416,212","1,407,757","1,411,301","2,148,080","1,371,072","1,376,500","1,436,456","1,468,466","1,270,012","1,280,748",3.29%,2.68%,2.93%,56.67%,15.97%,0.40%,4.77%,7.10%,-7.37%,-6.59%
